id,dataset,method,method_confidence_level,method_bias,method_recall_target,filename,row_count
1106,clef-CD008892,S-CAL,nan,1.05,0.95,clef-CD008892_S-CAL_nan_1.05_0.95.csv,510
1107,clef-CD008892,S-CAL,nan,1.05,0.99,clef-CD008892_S-CAL_nan_1.05_0.99.csv,510
1108,clef-CD008892,S-CAL,nan,1.0,0.8,clef-CD008892_S-CAL_nan_1.0_0.8.csv,510
1109,clef-CD008892,S-CAL,nan,1.0,0.9,clef-CD008892_S-CAL_nan_1.0_0.9.csv,510
1110,clef-CD008892,S-CAL,nan,1.0,0.95,clef-CD008892_S-CAL_nan_1.0_0.95.csv,510
1111,clef-CD008892,S-CAL,nan,1.0,0.99,clef-CD008892_S-CAL_nan_1.0_0.99.csv,510
1112,clef-CD008892,S-CAL,nan,1.1,0.8,clef-CD008892_S-CAL_nan_1.1_0.8.csv,510
1113,clef-CD008892,S-CAL,nan,1.1,0.9,clef-CD008892_S-CAL_nan_1.1_0.9.csv,510
1114,clef-CD008892,S-CAL,nan,1.1,0.95,clef-CD008892_S-CAL_nan_1.1_0.95.csv,510
1115,clef-CD008892,S-CAL,nan,1.1,0.99,clef-CD008892_S-CAL_nan_1.1_0.99.csv,510
1116,clef-CD008892,S-CAL,nan,1.2,0.8,clef-CD008892_S-CAL_nan_1.2_0.8.csv,510
1117,clef-CD008892,S-CAL,nan,1.2,0.9,clef-CD008892_S-CAL_nan_1.2_0.9.csv,510
1118,clef-CD008892,S-CAL,nan,1.2,0.95,clef-CD008892_S-CAL_nan_1.2_0.95.csv,510
1119,clef-CD008892,S-CAL,nan,1.2,0.99,clef-CD008892_S-CAL_nan_1.2_0.99.csv,510
1120,clef-CD008892,S-CAL,nan,1.3,0.8,clef-CD008892_S-CAL_nan_1.3_0.8.csv,510
1121,clef-CD008892,S-CAL,nan,1.3,0.9,clef-CD008892_S-CAL_nan_1.3_0.9.csv,510
1122,clef-CD008892,S-CAL,nan,1.3,0.95,clef-CD008892_S-CAL_nan_1.3_0.95.csv,510
1123,clef-CD008892,S-CAL,nan,1.3,0.99,clef-CD008892_S-CAL_nan_1.3_0.99.csv,510
1124,clef-CD008892,TM_QBCB,0.8,none,0.8,clef-CD008892_TM_QBCB_0.8_none_0.8.csv,850
1125,clef-CD008892,TM_QBCB,0.8,none,0.9,clef-CD008892_TM_QBCB_0.8_none_0.9.csv,850
1126,clef-CD008892,TM_QBCB,0.8,none,0.95,clef-CD008892_TM_QBCB_0.8_none_0.95.csv,850
1127,clef-CD008892,TM_QBCB,0.8,none,0.99,clef-CD008892_TM_QBCB_0.8_none_0.99.csv,850
1128,clef-CD008892,TM_QBCB,0.95,none,0.8,clef-CD008892_TM_QBCB_0.95_none_0.8.csv,850
1129,clef-CD008892,TM_QBCB,0.95,none,0.9,clef-CD008892_TM_QBCB_0.95_none_0.9.csv,850
1130,clef-CD008892,TM_QBCB,0.95,none,0.95,clef-CD008892_TM_QBCB_0.95_none_0.95.csv,850
1131,clef-CD008892,TM_QBCB,0.95,none,0.99,clef-CD008892_TM_QBCB_0.95_none_0.99.csv,850
1132,clef-CD008892,TM_QBCB,0.99,none,0.8,clef-CD008892_TM_QBCB_0.99_none_0.8.csv,850
1133,clef-CD008892,TM_QBCB,0.99,none,0.9,clef-CD008892_TM_QBCB_0.99_none_0.9.csv,850
1134,clef-CD008892,TM_QBCB,0.99,none,0.95,clef-CD008892_TM_QBCB_0.99_none_0.95.csv,850
1135,clef-CD008892,TM_QBCB,0.99,none,0.99,clef-CD008892_TM_QBCB_0.99_none_0.99.csv,850
1136,clef-CD008892,TM_QBCB,0.9,none,0.8,clef-CD008892_TM_QBCB_0.9_none_0.8.csv,850
1137,clef-CD008892,TM_QBCB,0.9,none,0.9,clef-CD008892_TM_QBCB_0.9_none_0.9.csv,850
1138,clef-CD008892,TM_QBCB,0.9,none,0.95,clef-CD008892_TM_QBCB_0.9_none_0.95.csv,850
1139,clef-CD008892,TM_QBCB,0.9,none,0.99,clef-CD008892_TM_QBCB_0.9_none_0.99.csv,850
1140,clef-CD009020,ALISON,0.8,none,0.8,clef-CD009020_ALISON_0.8_none_0.8.csv,196
1141,clef-CD009020,ALISON,0.8,none,0.9,clef-CD009020_ALISON_0.8_none_0.9.csv,196
1142,clef-CD009020,ALISON,0.8,none,0.95,clef-CD009020_ALISON_0.8_none_0.95.csv,196
1143,clef-CD009020,ALISON,0.8,none,0.99,clef-CD009020_ALISON_0.8_none_0.99.csv,196
1144,clef-CD009020,ALISON,0.95,none,0.8,clef-CD009020_ALISON_0.95_none_0.8.csv,196
1145,clef-CD009020,ALISON,0.95,none,0.9,clef-CD009020_ALISON_0.95_none_0.9.csv,196
1146,clef-CD009020,ALISON,0.95,none,0.95,clef-CD009020_ALISON_0.95_none_0.95.csv,196
1147,clef-CD009020,ALISON,0.95,none,0.99,clef-CD009020_ALISON_0.95_none_0.99.csv,196
1148,clef-CD009020,APRIORI,nan,none,0.8,clef-CD009020_APRIORI_nan_none_0.8.csv,1164
1149,clef-CD009020,APRIORI,nan,none,0.9,clef-CD009020_APRIORI_nan_none_0.9.csv,1164
1150,clef-CD009020,APRIORI,nan,none,0.95,clef-CD009020_APRIORI_nan_none_0.95.csv,1164
1151,clef-CD009020,APRIORI,nan,none,0.99,clef-CD009020_APRIORI_nan_none_0.99.csv,1164
1152,clef-CD009020,BATCHPRECISION,nan,none,nan,clef-CD009020_BATCHPRECISION_nan_none_nan.csv,2619
1153,clef-CD009020,CURVE_FITTING,0.8,none,0.8,clef-CD009020_CURVE_FITTING_0.8_none_0.8.csv,970
1154,clef-CD009020,CURVE_FITTING,0.8,none,0.9,clef-CD009020_CURVE_FITTING_0.8_none_0.9.csv,970
1155,clef-CD009020,CURVE_FITTING,0.8,none,0.95,clef-CD009020_CURVE_FITTING_0.8_none_0.95.csv,970
1156,clef-CD009020,CURVE_FITTING,0.8,none,0.99,clef-CD009020_CURVE_FITTING_0.8_none_0.99.csv,970
1157,clef-CD009020,CURVE_FITTING,0.95,none,0.8,clef-CD009020_CURVE_FITTING_0.95_none_0.8.csv,970
1158,clef-CD009020,CURVE_FITTING,0.95,none,0.9,clef-CD009020_CURVE_FITTING_0.95_none_0.9.csv,970
1159,clef-CD009020,CURVE_FITTING,0.95,none,0.95,clef-CD009020_CURVE_FITTING_0.95_none_0.95.csv,970
1160,clef-CD009020,CURVE_FITTING,0.95,none,0.99,clef-CD009020_CURVE_FITTING_0.95_none_0.99.csv,970
1161,clef-CD009020,CURVE_FITTING,0.99,none,0.8,clef-CD009020_CURVE_FITTING_0.99_none_0.8.csv,970
1162,clef-CD009020,CURVE_FITTING,0.99,none,0.9,clef-CD009020_CURVE_FITTING_0.99_none_0.9.csv,970
1163,clef-CD009020,CURVE_FITTING,0.99,none,0.95,clef-CD009020_CURVE_FITTING_0.99_none_0.95.csv,970
1164,clef-CD009020,CURVE_FITTING,0.99,none,0.99,clef-CD009020_CURVE_FITTING_0.99_none_0.99.csv,970
1165,clef-CD009020,CURVE_FITTING,0.9,none,0.8,clef-CD009020_CURVE_FITTING_0.9_none_0.8.csv,970
1166,clef-CD009020,CURVE_FITTING,0.9,none,0.9,clef-CD009020_CURVE_FITTING_0.9_none_0.9.csv,970
1167,clef-CD009020,CURVE_FITTING,0.9,none,0.95,clef-CD009020_CURVE_FITTING_0.9_none_0.95.csv,970
1168,clef-CD009020,CURVE_FITTING,0.9,none,0.99,clef-CD009020_CURVE_FITTING_0.9_none_0.99.csv,970
1169,clef-CD009020,HEURISTIC_FIX,nan,none,nan,clef-CD009020_HEURISTIC_FIX_nan_none_nan.csv,1164
1170,clef-CD009020,HEURISTIC_FRAC,nan,none,nan,clef-CD009020_HEURISTIC_FRAC_nan_none_nan.csv,1455
1171,clef-CD009020,HEURISTIC_RANDOM,nan,none,0.8,clef-CD009020_HEURISTIC_RANDOM_nan_none_0.8.csv,291
1172,clef-CD009020,HEURISTIC_RANDOM,nan,none,0.9,clef-CD009020_HEURISTIC_RANDOM_nan_none_0.9.csv,291
1173,clef-CD009020,HEURISTIC_RANDOM,nan,none,0.95,clef-CD009020_HEURISTIC_RANDOM_nan_none_0.95.csv,291
1174,clef-CD009020,HEURISTIC_RANDOM,nan,none,0.99,clef-CD009020_HEURISTIC_RANDOM_nan_none_0.99.csv,291
1175,clef-CD009020,HEURISTIC_SCORES,nan,none,0.8,clef-CD009020_HEURISTIC_SCORES_nan_none_0.8.csv,1164
1176,clef-CD009020,HEURISTIC_SCORES,nan,none,0.9,clef-CD009020_HEURISTIC_SCORES_nan_none_0.9.csv,1164
1177,clef-CD009020,HEURISTIC_SCORES,nan,none,0.95,clef-CD009020_HEURISTIC_SCORES_nan_none_0.95.csv,1164
1178,clef-CD009020,HEURISTIC_SCORES,nan,none,0.99,clef-CD009020_HEURISTIC_SCORES_nan_none_0.99.csv,1164
1179,clef-CD009020,IPP,0.8,none,0.8,clef-CD009020_IPP_0.8_none_0.8.csv,1455
1180,clef-CD009020,IPP,0.8,none,0.9,clef-CD009020_IPP_0.8_none_0.9.csv,1455
1181,clef-CD009020,IPP,0.8,none,0.95,clef-CD009020_IPP_0.8_none_0.95.csv,1455
1182,clef-CD009020,IPP,0.8,none,0.99,clef-CD009020_IPP_0.8_none_0.99.csv,1455
1183,clef-CD009020,IPP,0.95,none,0.8,clef-CD009020_IPP_0.95_none_0.8.csv,1455
1184,clef-CD009020,IPP,0.95,none,0.9,clef-CD009020_IPP_0.95_none_0.9.csv,1455
1185,clef-CD009020,IPP,0.95,none,0.95,clef-CD009020_IPP_0.95_none_0.95.csv,1455
1186,clef-CD009020,IPP,0.95,none,0.99,clef-CD009020_IPP_0.95_none_0.99.csv,1455
1187,clef-CD009020,IPP,0.99,none,0.8,clef-CD009020_IPP_0.99_none_0.8.csv,1455
1188,clef-CD009020,IPP,0.99,none,0.9,clef-CD009020_IPP_0.99_none_0.9.csv,1455
1189,clef-CD009020,IPP,0.99,none,0.95,clef-CD009020_IPP_0.99_none_0.95.csv,1455
1190,clef-CD009020,IPP,0.99,none,0.99,clef-CD009020_IPP_0.99_none_0.99.csv,1455
1191,clef-CD009020,IPP,0.9,none,0.8,clef-CD009020_IPP_0.9_none_0.8.csv,1455
1192,clef-CD009020,IPP,0.9,none,0.9,clef-CD009020_IPP_0.9_none_0.9.csv,1455
1193,clef-CD009020,IPP,0.9,none,0.95,clef-CD009020_IPP_0.9_none_0.95.csv,1455
1194,clef-CD009020,IPP,0.9,none,0.99,clef-CD009020_IPP_0.9_none_0.99.csv,1455
1195,clef-CD009020,KNEE,nan,none,nan,clef-CD009020_KNEE_nan_none_nan.csv,10476
1196,clef-CD009020,QUANT_CI,nan,none,0.8,clef-CD009020_QUANT_CI_nan_none_0.8.csv,873
1197,clef-CD009020,QUANT_CI,nan,none,0.9,clef-CD009020_QUANT_CI_nan_none_0.9.csv,873
1198,clef-CD009020,QUANT_CI,nan,none,0.95,clef-CD009020_QUANT_CI_nan_none_0.95.csv,873
1199,clef-CD009020,QUANT_CI,nan,none,0.99,clef-CD009020_QUANT_CI_nan_none_0.99.csv,873
1200,clef-CD009020,S-CAL,nan,0.9,0.8,clef-CD009020_S-CAL_nan_0.9_0.8.csv,582
1201,clef-CD009020,S-CAL,nan,0.9,0.9,clef-CD009020_S-CAL_nan_0.9_0.9.csv,582
1202,clef-CD009020,S-CAL,nan,0.9,0.95,clef-CD009020_S-CAL_nan_0.9_0.95.csv,582
1203,clef-CD009020,S-CAL,nan,0.9,0.99,clef-CD009020_S-CAL_nan_0.9_0.99.csv,582
1204,clef-CD009020,S-CAL,nan,1.05,0.8,clef-CD009020_S-CAL_nan_1.05_0.8.csv,582
1205,clef-CD009020,S-CAL,nan,1.05,0.9,clef-CD009020_S-CAL_nan_1.05_0.9.csv,582
1206,clef-CD009020,S-CAL,nan,1.05,0.95,clef-CD009020_S-CAL_nan_1.05_0.95.csv,582
1207,clef-CD009020,S-CAL,nan,1.05,0.99,clef-CD009020_S-CAL_nan_1.05_0.99.csv,582
1208,clef-CD009020,S-CAL,nan,1.0,0.8,clef-CD009020_S-CAL_nan_1.0_0.8.csv,582
1209,clef-CD009020,S-CAL,nan,1.0,0.9,clef-CD009020_S-CAL_nan_1.0_0.9.csv,582
1210,clef-CD009020,S-CAL,nan,1.0,0.95,clef-CD009020_S-CAL_nan_1.0_0.95.csv,582
1211,clef-CD009020,S-CAL,nan,1.0,0.99,clef-CD009020_S-CAL_nan_1.0_0.99.csv,582
1212,clef-CD009020,S-CAL,nan,1.1,0.8,clef-CD009020_S-CAL_nan_1.1_0.8.csv,582
1213,clef-CD009020,S-CAL,nan,1.1,0.9,clef-CD009020_S-CAL_nan_1.1_0.9.csv,582
1214,clef-CD009020,S-CAL,nan,1.1,0.95,clef-CD009020_S-CAL_nan_1.1_0.95.csv,582
1215,clef-CD009020,S-CAL,nan,1.1,0.99,clef-CD009020_S-CAL_nan_1.1_0.99.csv,582
1216,clef-CD009020,S-CAL,nan,1.2,0.8,clef-CD009020_S-CAL_nan_1.2_0.8.csv,582
1217,clef-CD009020,S-CAL,nan,1.2,0.9,clef-CD009020_S-CAL_nan_1.2_0.9.csv,582
1218,clef-CD009020,S-CAL,nan,1.2,0.95,clef-CD009020_S-CAL_nan_1.2_0.95.csv,582
1219,clef-CD009020,S-CAL,nan,1.2,0.99,clef-CD009020_S-CAL_nan_1.2_0.99.csv,582
1220,clef-CD009020,S-CAL,nan,1.3,0.8,clef-CD009020_S-CAL_nan_1.3_0.8.csv,582
1221,clef-CD009020,S-CAL,nan,1.3,0.9,clef-CD009020_S-CAL_nan_1.3_0.9.csv,582
1222,clef-CD009020,S-CAL,nan,1.3,0.95,clef-CD009020_S-CAL_nan_1.3_0.95.csv,582
1223,clef-CD009020,S-CAL,nan,1.3,0.99,clef-CD009020_S-CAL_nan_1.3_0.99.csv,582
1224,clef-CD009020,TM_QBCB,0.8,none,0.8,clef-CD009020_TM_QBCB_0.8_none_0.8.csv,970
1225,clef-CD009020,TM_QBCB,0.8,none,0.9,clef-CD009020_TM_QBCB_0.8_none_0.9.csv,970
1226,clef-CD009020,TM_QBCB,0.8,none,0.95,clef-CD009020_TM_QBCB_0.8_none_0.95.csv,970
1227,clef-CD009020,TM_QBCB,0.8,none,0.99,clef-CD009020_TM_QBCB_0.8_none_0.99.csv,970
1228,clef-CD009020,TM_QBCB,0.95,none,0.8,clef-CD009020_TM_QBCB_0.95_none_0.8.csv,970
1229,clef-CD009020,TM_QBCB,0.95,none,0.9,clef-CD009020_TM_QBCB_0.95_none_0.9.csv,970
1230,clef-CD009020,TM_QBCB,0.95,none,0.95,clef-CD009020_TM_QBCB_0.95_none_0.95.csv,970
1231,clef-CD009020,TM_QBCB,0.95,none,0.99,clef-CD009020_TM_QBCB_0.95_none_0.99.csv,970
1232,clef-CD009020,TM_QBCB,0.99,none,0.8,clef-CD009020_TM_QBCB_0.99_none_0.8.csv,970
1233,clef-CD009020,TM_QBCB,0.99,none,0.9,clef-CD009020_TM_QBCB_0.99_none_0.9.csv,970
1234,clef-CD009020,TM_QBCB,0.99,none,0.95,clef-CD009020_TM_QBCB_0.99_none_0.95.csv,970
1235,clef-CD009020,TM_QBCB,0.99,none,0.99,clef-CD009020_TM_QBCB_0.99_none_0.99.csv,970
1236,clef-CD009020,TM_QBCB,0.9,none,0.8,clef-CD009020_TM_QBCB_0.9_none_0.8.csv,970
1237,clef-CD009020,TM_QBCB,0.9,none,0.9,clef-CD009020_TM_QBCB_0.9_none_0.9.csv,970
1238,clef-CD009020,TM_QBCB,0.9,none,0.95,clef-CD009020_TM_QBCB_0.9_none_0.95.csv,970
1239,clef-CD009020,TM_QBCB,0.9,none,0.99,clef-CD009020_TM_QBCB_0.9_none_0.99.csv,970
1240,clef-CD009069,ALISON,0.8,nan,0.8,clef-CD009069_ALISON_0.8_nan_0.8.csv,222
1241,clef-CD009069,ALISON,0.8,nan,0.9,clef-CD009069_ALISON_0.8_nan_0.9.csv,222
1242,clef-CD009069,ALISON,0.8,nan,0.95,clef-CD009069_ALISON_0.8_nan_0.95.csv,222
1243,clef-CD009069,ALISON,0.8,nan,0.99,clef-CD009069_ALISON_0.8_nan_0.99.csv,222
1244,clef-CD009069,ALISON,0.8,none,0.8,clef-CD009069_ALISON_0.8_none_0.8.csv,444
1245,clef-CD009069,ALISON,0.8,none,0.9,clef-CD009069_ALISON_0.8_none_0.9.csv,444
1246,clef-CD009069,ALISON,0.8,none,0.95,clef-CD009069_ALISON_0.8_none_0.95.csv,444
1247,clef-CD009069,ALISON,0.8,none,0.99,clef-CD009069_ALISON_0.8_none_0.99.csv,444
1248,clef-CD009069,ALISON,0.95,nan,0.8,clef-CD009069_ALISON_0.95_nan_0.8.csv,222
1249,clef-CD009069,ALISON,0.95,nan,0.9,clef-CD009069_ALISON_0.95_nan_0.9.csv,222
1250,clef-CD009069,ALISON,0.95,nan,0.95,clef-CD009069_ALISON_0.95_nan_0.95.csv,222
1251,clef-CD009069,ALISON,0.95,nan,0.99,clef-CD009069_ALISON_0.95_nan_0.99.csv,222
1252,clef-CD009069,ALISON,0.95,none,0.8,clef-CD009069_ALISON_0.95_none_0.8.csv,444
1253,clef-CD009069,ALISON,0.95,none,0.9,clef-CD009069_ALISON_0.95_none_0.9.csv,444
1254,clef-CD009069,ALISON,0.95,none,0.95,clef-CD009069_ALISON_0.95_none_0.95.csv,444
1255,clef-CD009069,ALISON,0.95,none,0.99,clef-CD009069_ALISON_0.95_none_0.99.csv,444
1256,clef-CD009069,APRIORI,nan,none,0.8,clef-CD009069_APRIORI_nan_none_0.8.csv,1332
1257,clef-CD009069,APRIORI,nan,none,0.9,clef-CD009069_APRIORI_nan_none_0.9.csv,1332
1258,clef-CD009069,APRIORI,nan,none,0.95,clef-CD009069_APRIORI_nan_none_0.95.csv,1332
1259,clef-CD009069,APRIORI,nan,none,0.99,clef-CD009069_APRIORI_nan_none_0.99.csv,1332
1260,clef-CD009069,BATCHPRECISION,nan,nan,nan,clef-CD009069_BATCHPRECISION_nan_nan_nan.csv,999
1261,clef-CD009069,BATCHPRECISION,nan,none,nan,clef-CD009069_BATCHPRECISION_nan_none_nan.csv,2997
1262,clef-CD009069,BUSCAR,0.99,1.0,0.8,clef-CD009069_BUSCAR_0.99_1.0_0.8.csv,111
1263,clef-CD009069,BUSCAR,0.99,1.0,0.9,clef-CD009069_BUSCAR_0.99_1.0_0.9.csv,111
1264,clef-CD009069,BUSCAR,0.99,1.0,0.95,clef-CD009069_BUSCAR_0.99_1.0_0.95.csv,111
1265,clef-CD009069,BUSCAR,0.99,1.0,0.99,clef-CD009069_BUSCAR_0.99_1.0_0.99.csv,111
1266,clef-CD009069,BUSCAR,0.99,10.0,0.8,clef-CD009069_BUSCAR_0.99_10.0_0.8.csv,111
1267,clef-CD009069,BUSCAR,0.99,10.0,0.9,clef-CD009069_BUSCAR_0.99_10.0_0.9.csv,111
1268,clef-CD009069,BUSCAR,0.99,10.0,0.95,clef-CD009069_BUSCAR_0.99_10.0_0.95.csv,111
1269,clef-CD009069,BUSCAR,0.99,10.0,0.99,clef-CD009069_BUSCAR_0.99_10.0_0.99.csv,111
1270,clef-CD009069,BUSCAR,0.99,2.0,0.8,clef-CD009069_BUSCAR_0.99_2.0_0.8.csv,111
1271,clef-CD009069,BUSCAR,0.99,2.0,0.9,clef-CD009069_BUSCAR_0.99_2.0_0.9.csv,111
1272,clef-CD009069,BUSCAR,0.99,2.0,0.95,clef-CD009069_BUSCAR_0.99_2.0_0.95.csv,111
1273,clef-CD009069,BUSCAR,0.99,2.0,0.99,clef-CD009069_BUSCAR_0.99_2.0_0.99.csv,111
1274,clef-CD009069,BUSCAR,0.99,5.0,0.8,clef-CD009069_BUSCAR_0.99_5.0_0.8.csv,111
1275,clef-CD009069,BUSCAR,0.99,5.0,0.9,clef-CD009069_BUSCAR_0.99_5.0_0.9.csv,111
1276,clef-CD009069,BUSCAR,0.99,5.0,0.95,clef-CD009069_BUSCAR_0.99_5.0_0.95.csv,111
1277,clef-CD009069,BUSCAR,0.99,5.0,0.99,clef-CD009069_BUSCAR_0.99_5.0_0.99.csv,111
1278,clef-CD009069,CURVE_FITTING,0.8,none,0.8,clef-CD009069_CURVE_FITTING_0.8_none_0.8.csv,1665
1279,clef-CD009069,CURVE_FITTING,0.8,none,0.9,clef-CD009069_CURVE_FITTING_0.8_none_0.9.csv,1665
1280,clef-CD009069,CURVE_FITTING,0.8,none,0.95,clef-CD009069_CURVE_FITTING_0.8_none_0.95.csv,1665
1281,clef-CD009069,CURVE_FITTING,0.8,none,0.99,clef-CD009069_CURVE_FITTING_0.8_none_0.99.csv,1665
1282,clef-CD009069,CURVE_FITTING,0.95,none,0.8,clef-CD009069_CURVE_FITTING_0.95_none_0.8.csv,1665
1283,clef-CD009069,CURVE_FITTING,0.95,none,0.9,clef-CD009069_CURVE_FITTING_0.95_none_0.9.csv,1665
1284,clef-CD009069,CURVE_FITTING,0.95,none,0.95,clef-CD009069_CURVE_FITTING_0.95_none_0.95.csv,1665
1285,clef-CD009069,CURVE_FITTING,0.95,none,0.99,clef-CD009069_CURVE_FITTING_0.95_none_0.99.csv,1665
1286,clef-CD009069,CURVE_FITTING,0.99,none,0.8,clef-CD009069_CURVE_FITTING_0.99_none_0.8.csv,1665
1287,clef-CD009069,CURVE_FITTING,0.99,none,0.9,clef-CD009069_CURVE_FITTING_0.99_none_0.9.csv,1665
1288,clef-CD009069,CURVE_FITTING,0.99,none,0.95,clef-CD009069_CURVE_FITTING_0.99_none_0.95.csv,1665
1289,clef-CD009069,CURVE_FITTING,0.99,none,0.99,clef-CD009069_CURVE_FITTING_0.99_none_0.99.csv,1665
1290,clef-CD009069,CURVE_FITTING,0.9,none,0.8,clef-CD009069_CURVE_FITTING_0.9_none_0.8.csv,1665
1291,clef-CD009069,CURVE_FITTING,0.9,none,0.9,clef-CD009069_CURVE_FITTING_0.9_none_0.9.csv,1665
1292,clef-CD009069,CURVE_FITTING,0.9,none,0.95,clef-CD009069_CURVE_FITTING_0.9_none_0.95.csv,1665
1293,clef-CD009069,CURVE_FITTING,0.9,none,0.99,clef-CD009069_CURVE_FITTING_0.9_none_0.99.csv,1665
1294,clef-CD009069,CurveFitting,nan,nan,0.8,clef-CD009069_CurveFitting_nan_nan_0.8.csv,111
1295,clef-CD009069,CurveFitting,nan,nan,0.9,clef-CD009069_CurveFitting_nan_nan_0.9.csv,111
1296,clef-CD009069,CurveFitting,nan,nan,0.95,clef-CD009069_CurveFitting_nan_nan_0.95.csv,111
1297,clef-CD009069,CurveFitting,nan,nan,0.99,clef-CD009069_CurveFitting_nan_nan_0.99.csv,111
1298,clef-CD009069,HEURISTIC_FIX,nan,nan,nan,clef-CD009069_HEURISTIC_FIX_nan_nan_nan.csv,444
1299,clef-CD009069,HEURISTIC_FIX,nan,none,nan,clef-CD009069_HEURISTIC_FIX_nan_none_nan.csv,1332
1300,clef-CD009069,HEURISTIC_FRAC,nan,nan,nan,clef-CD009069_HEURISTIC_FRAC_nan_nan_nan.csv,555
1301,clef-CD009069,HEURISTIC_FRAC,nan,none,nan,clef-CD009069_HEURISTIC_FRAC_nan_none_nan.csv,1665
1302,clef-CD009069,HEURISTIC_RANDOM,nan,none,0.8,clef-CD009069_HEURISTIC_RANDOM_nan_none_0.8.csv,333
1303,clef-CD009069,HEURISTIC_RANDOM,nan,none,0.9,clef-CD009069_HEURISTIC_RANDOM_nan_none_0.9.csv,333
1304,clef-CD009069,HEURISTIC_RANDOM,nan,none,0.95,clef-CD009069_HEURISTIC_RANDOM_nan_none_0.95.csv,333
1305,clef-CD009069,HEURISTIC_RANDOM,nan,none,0.99,clef-CD009069_HEURISTIC_RANDOM_nan_none_0.99.csv,333
1306,clef-CD009069,HEURISTIC_SCORES,nan,none,0.8,clef-CD009069_HEURISTIC_SCORES_nan_none_0.8.csv,1332
1307,clef-CD009069,HEURISTIC_SCORES,nan,none,0.9,clef-CD009069_HEURISTIC_SCORES_nan_none_0.9.csv,1332
1308,clef-CD009069,HEURISTIC_SCORES,nan,none,0.95,clef-CD009069_HEURISTIC_SCORES_nan_none_0.95.csv,1332
1309,clef-CD009069,HEURISTIC_SCORES,nan,none,0.99,clef-CD009069_HEURISTIC_SCORES_nan_none_0.99.csv,1332
1310,clef-CD009069,IPP,0.8,none,0.8,clef-CD009069_IPP_0.8_none_0.8.csv,1665
1311,clef-CD009069,IPP,0.8,none,0.9,clef-CD009069_IPP_0.8_none_0.9.csv,1665
1312,clef-CD009069,IPP,0.8,none,0.95,clef-CD009069_IPP_0.8_none_0.95.csv,1665
1313,clef-CD009069,IPP,0.8,none,0.99,clef-CD009069_IPP_0.8_none_0.99.csv,1665
1314,clef-CD009069,IPP,0.95,none,0.8,clef-CD009069_IPP_0.95_none_0.8.csv,1665
1315,clef-CD009069,IPP,0.95,none,0.9,clef-CD009069_IPP_0.95_none_0.9.csv,1665
1316,clef-CD009069,IPP,0.95,none,0.95,clef-CD009069_IPP_0.95_none_0.95.csv,1665
1317,clef-CD009069,IPP,0.95,none,0.99,clef-CD009069_IPP_0.95_none_0.99.csv,1665
1318,clef-CD009069,IPP,0.99,none,0.8,clef-CD009069_IPP_0.99_none_0.8.csv,1665
1319,clef-CD009069,IPP,0.99,none,0.9,clef-CD009069_IPP_0.99_none_0.9.csv,1665
1320,clef-CD009069,IPP,0.99,none,0.95,clef-CD009069_IPP_0.99_none_0.95.csv,1665
1321,clef-CD009069,IPP,0.99,none,0.99,clef-CD009069_IPP_0.99_none_0.99.csv,1665
1322,clef-CD009069,IPP,0.9,none,0.8,clef-CD009069_IPP_0.9_none_0.8.csv,1665
1323,clef-CD009069,IPP,0.9,none,0.9,clef-CD009069_IPP_0.9_none_0.9.csv,1665
1324,clef-CD009069,IPP,0.9,none,0.95,clef-CD009069_IPP_0.9_none_0.95.csv,1665
1325,clef-CD009069,IPP,0.9,none,0.99,clef-CD009069_IPP_0.9_none_0.99.csv,1665
1326,clef-CD009069,KNEE,nan,nan,nan,clef-CD009069_KNEE_nan_nan_nan.csv,1332
1327,clef-CD009069,KNEE,nan,none,nan,clef-CD009069_KNEE_nan_none_nan.csv,11988
1328,clef-CD009069,METHOD2399,nan,nan,nan,clef-CD009069_METHOD2399_nan_nan_nan.csv,333
1329,clef-CD009069,QUANT_CI,nan,none,0.8,clef-CD009069_QUANT_CI_nan_none_0.8.csv,999
1330,clef-CD009069,QUANT_CI,nan,none,0.9,clef-CD009069_QUANT_CI_nan_none_0.9.csv,999
1331,clef-CD009069,QUANT_CI,nan,none,0.95,clef-CD009069_QUANT_CI_nan_none_0.95.csv,999
1332,clef-CD009069,QUANT_CI,nan,none,0.99,clef-CD009069_QUANT_CI_nan_none_0.99.csv,999
1333,clef-CD009069,S-CAL,nan,0.9,0.8,clef-CD009069_S-CAL_nan_0.9_0.8.csv,999
1334,clef-CD009069,S-CAL,nan,0.9,0.9,clef-CD009069_S-CAL_nan_0.9_0.9.csv,999
1335,clef-CD009069,S-CAL,nan,0.9,0.95,clef-CD009069_S-CAL_nan_0.9_0.95.csv,999
1336,clef-CD009069,S-CAL,nan,0.9,0.99,clef-CD009069_S-CAL_nan_0.9_0.99.csv,999
1337,clef-CD009069,S-CAL,nan,1.05,0.8,clef-CD009069_S-CAL_nan_1.05_0.8.csv,999
1338,clef-CD009069,S-CAL,nan,1.05,0.9,clef-CD009069_S-CAL_nan_1.05_0.9.csv,999
1339,clef-CD009069,S-CAL,nan,1.05,0.95,clef-CD009069_S-CAL_nan_1.05_0.95.csv,999
1340,clef-CD009069,S-CAL,nan,1.05,0.99,clef-CD009069_S-CAL_nan_1.05_0.99.csv,999
